,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,037760,쎄니트,"1,900","0","0.0","1,875","1,905","1,860","151,310","284,254,310","64,282,549,900","0.02","33,832,921"
,037950,엘컴텍,"1,980","95","5.0","1,925","2,015","1,865","7,409,085","14,509,658,300","167,206,087,620","0.06","84,447,519"
,038010,제일테크노스,"4,835","50","1.0","4,760","4,965","4,505","196,279","940,799,935","43,515,000,000","0.01","9,000,000"
,038060,루멘스,"1,690","-35","-2.0","1,710","1,715","1,680","190,106","322,857,200","80,644,687,500","0.03","47,718,750"
,038070,서린바이오,"12,700","-450","-3.4","13,150","14,500","12,650","4,398,814","60,470,197,400","101,608,585,200","0.03","8,000,676"
,038110,에코플라스틱,"1,400","15","1.1","1,370","1,420","1,355","142,036","197,700,930","35,937,118,000","0.01","25,669,370"
,038160,팍스넷,"862","0","0.0","0","0","0","0","0","10,551,204,112","0.00","12,240,376"
,038290,마크로젠,"32,900","550","1.7","32,300","34,250","32,150","583,765","19,463,322,100","349,123,416,600","0.12","10,611,654"
,038340,UCI,"2,510","-290","-10.4","2,830","2,830","2,335","778,196","1,989,460,870","83,119,706,710","0.03","33,115,421"
,038390,레드캡투어,"12,950","800","6.6","12,150","14,600","12,050","130,287","1,722,794,200","111,233,766,000","0.04","8,589,480"
,038460,바이오스마트,"6,170","-110","-1.8","6,140","6,840","6,100","2,310,580","15,132,249,460","123,941,726,000","0.04","20,087,800"
,038500,삼표시멘트,"3,590","-120","-3.2","3,710","3,960","3,575","6,236,983","23,227,432,505","385,412,251,070","0.13","107,357,173"
,038530,골드퍼시픽,"1,390","-10","-0.7","1,400","1,445","1,375","694,630","965,074,160","62,047,364,880","0.02","44,638,392"
,038540,상상인,"6,100","-150","-2.4","6,200","6,230","6,010","349,316","2,132,254,490","337,502,709,300","0.11","55,328,313"
,038620,위즈코프,"1,005","-5","-0.5","1,015","1,020","997","506,585","508,049,575","39,024,925,860","0.01","38,830,772"
,038680,에스넷,"6,710","-250","-3.6","6,890","6,960","6,710","279,116","1,900,127,470","107,864,692,650","0.04","16,075,215"
,038870,에코바이오,"8,380","-190","-2.2","8,570","8,660","8,290","294,286","2,488,732,620","97,300,129,720","0.03","11,610,994"
