,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000250,삼천당제약,"24,950","3,100","14.2","23,000","25,850","22,500","1,747,146","42,510,631,500","551,540,034,350","0.32","22,105,813"
,000440,중앙에너비스,"5,160","450","9.6","4,710","5,490","4,675","144,833","720,994,985","32,131,990,800","0.02","6,227,130"
,001000,신라섬유,"1,075","86","8.7","1,000","1,075","990","140,055","145,651,775","26,098,355,500","0.02","24,277,540"
,001540,안국약품,"6,870","530","8.4","6,360","7,940","6,360","278,165","1,977,511,390","89,601,425,400","0.05","13,042,420"
,001810,무림SP,"1,310","90","7.4","1,190","1,335","1,190","253,230","316,770,285","29,000,125,000","0.02","22,137,500"
,001840,이화공영,"2,770","370","15.4","2,400","2,770","2,380","276,475","690,441,685","54,861,955,200","0.03","19,805,760"
,002230,피에스텍,"2,120","120","6.0","1,900","2,160","1,900","319,897","645,230,745","41,698,795,160","0.02","19,669,243"
,002290,삼일기업공사,"1,835","115","6.7","1,720","1,885","1,700","55,265","98,232,920","22,754,000,000","0.01","12,400,000"
,002680,한탑,"1,350","120","9.8","1,180","1,385","1,180","74,699","95,745,105","28,080,000,000","0.02","20,800,000"
,002800,신신제약,"7,000","150","2.2","6,970","7,330","6,840","3,134,368","22,057,906,130","106,193,500,000","0.06","15,170,500"
,003100,선광,"11,050","1,070","10.7","10,500","12,950","10,350","43,581","510,752,300","72,930,000,000","0.04","6,600,000"
,003310,대주산업,"714","84","13.3","623","718","623","11,871,117","8,043,326,726","25,270,137,900","0.01","35,392,350"
,003380,하림지주,"4,290","645","17.7","3,740","4,315","3,740","463,179","1,881,830,600","401,476,209,420","0.23","93,584,198"
,003800,에이스침대,"38,300","6,300","19.7","31,900","38,300","31,500","5,002","173,206,950","424,747,000,000","0.25","11,090,000"
,004590,한국가구,"3,165","260","9.0","2,950","3,240","2,950","6,416","20,259,740","47,475,000,000","0.03","15,000,000"
,004650,창해에탄올,"9,640","760","8.6","8,900","9,880","8,900","528,189","4,915,865,530","88,600,131,400","0.05","9,190,885"
,004780,대륙제관,"2,715","185","7.3","2,500","2,790","2,500","606,352","1,632,972,105","43,177,185,285","0.03","15,903,199"
,005160,동국산업,"1,700","75","4.6","1,550","1,700","1,550","127,285","208,501,440","92,215,619,400","0.05","54,244,482"
,005290,동진쎄미켐,"11,600","1,800","18.4","10,200","11,650","9,910","2,539,987","27,597,445,180","596,408,130,400","0.35","51,414,494"
,005670,푸드웰,"4,000","280","7.5","3,750","4,120","3,620","64,535","249,352,780","40,000,000,000","0.02","10,000,000"
,005710,대원산업,"3,400","160","4.9","3,240","3,400","3,240","18,242","60,813,540","68,127,840,000","0.04","20,037,600"
,005860,한일사료,"1,070","107","11.1","960","1,075","960","486,860","496,147,087","42,161,942,950","0.02","39,403,685"
,005990,매일홀딩스,"6,900","-50","-0.7","6,690","7,170","6,660","76,926","524,913,060","94,656,297,600","0.06","13,718,304"
,006050,국영지앤엠,"2,030","110","5.7","2,000","2,055","1,890","5,821,543","11,563,565,765","70,837,343,290","0.04","34,895,243"
,006140,피제이전자,"3,310","70","2.2","3,240","3,400","3,210","14,341","46,863,210","49,650,000,000","0.03","15,000,000"
,006580,대양제지,"2,055","210","11.4","1,870","2,085","1,870","278,019","555,250,770","55,176,750,000","0.03","26,850,000"
,006620,동구바이오제약,"11,500","550","5.0","11,100","11,750","11,000","146,749","1,665,897,000","110,446,000,000","0.06","9,604,000"
,006730,서부T&D,"4,530","760","20.2","3,850","4,550","3,850","467,717","2,003,285,995","251,138,139,990","0.15","55,438,883"
,006910,보성파워텍,"1,155","60","5.5","1,080","1,185","1,080","859,569","963,397,540","53,214,383,145","0.03","46,073,059"
,006920,모헨즈,"2,185","130","6.3","2,050","2,230","1,945","261,675","543,158,860","23,860,200,000","0.01","10,920,000"
,007330,푸른저축은행,"6,290","330","5.5","6,000","6,350","6,000","22,813","139,921,500","94,870,812,000","0.06","15,082,800"
,007370,진양제약,"3,425","190","5.9","3,380","3,715","3,260","780,320","2,729,167,255","41,100,000,000","0.02","12,000,000"
,007390,네이처셀,"7,220","520","7.8","6,970","7,280","6,910","1,766,201","12,488,089,970","441,794,680,780","0.26","61,190,399"
