﻿일,유종,WTI
01월 02일,,95.44
01월 03일,,93.96
01월 06일,,93.43
01월 07일,,93.67
01월 08일,,92.33
01월 09일,,91.66
01월 10일,,92.72
01월 13일,,91.80
01월 14일,,92.59
01월 15일,,94.17
01월 16일,,93.96
01월 17일,,94.37
01월 21일,,94.99
01월 22일,,96.73
01월 23일,,97.32
01월 24일,,96.64
01월 27일,,95.72
01월 28일,,97.41
01월 29일,,97.36
01월 30일,,98.23
01월 31일,,97.49
02월 03일,,96.43
02월 04일,,97.19
02월 05일,,97.38
02월 06일,,97.84
02월 07일,,99.88
02월 10일,,100.06
02월 11일,,99.94
02월 12일,,100.37
02월 13일,,100.35
02월 14일,,100.30
02월 18일,,102.43
02월 19일,,103.31
02월 20일,,102.92
02월 21일,,102.20
02월 24일,,102.82
02월 25일,,101.83
02월 26일,,102.59
02월 27일,,102.40
02월 28일,,102.59
03월 03일,,104.92
03월 04일,,103.33
03월 05일,,101.45
03월 06일,,101.56
03월 07일,,102.58
03월 10일,,101.12
03월 11일,,100.03
03월 12일,,97.99
03월 13일,,98.20
03월 14일,,98.89
03월 17일,,98.08
03월 18일,,99.70
03월 19일,,100.37
03월 20일,,99.43
03월 21일,,99.46
03월 24일,,99.60
03월 25일,,99.19
03월 26일,,100.26
03월 27일,,101.28
03월 28일,,101.67
03월 31일,,101.58
04월 01일,,99.74
04월 02일,,99.62
04월 03일,,100.29
04월 04일,,101.14
04월 07일,,100.44
04월 08일,,102.56
04월 09일,,103.60
04월 10일,,103.40
04월 11일,,103.74
04월 14일,,104.05
04월 15일,,103.75
04월 16일,,103.76
04월 17일,,104.30
04월 21일,,104.37
04월 22일,,102.13
04월 23일,,101.44
04월 24일,,101.94
04월 25일,,100.60
04월 28일,,100.84
04월 29일,,101.28
04월 30일,,99.74
05월 01일,,99.42
05월 02일,,99.76
05월 05일,,99.48
05월 06일,,99.50
05월 07일,,100.77
05월 08일,,100.26
05월 09일,,99.99
05월 12일,,100.59
05월 13일,,101.70
05월 14일,,102.37
05월 15일,,101.50
05월 16일,,102.02
05월 19일,,102.61
05월 20일,,102.44
05월 21일,,104.07
05월 22일,,103.74
05월 23일,,104.35
05월 27일,,104.11
05월 28일,,102.72
05월 29일,,103.58
05월 30일,,102.71
06월 02일,,102.47
06월 03일,,102.66
06월 04일,,102.64
06월 05일,,102.48
06월 06일,,102.66
06월 09일,,104.41
06월 10일,,104.35
06월 11일,,104.40
06월 12일,,106.53
06월 13일,,106.91
06월 16일,,106.90
06월 17일,,106.36
06월 18일,,105.97
06월 19일,,106.43
06월 20일,,107.26
06월 23일,,106.17
06월 24일,,106.03
06월 25일,,106.50
