﻿일,유종,WTI
01월 02일,,52.69
01월 05일,,50.04
01월 06일,,47.93
01월 07일,,48.65
01월 08일,,48.79
01월 09일,,48.36
01월 12일,,46.07
01월 13일,,45.89
01월 14일,,48.48
01월 15일,,46.25
01월 16일,,48.69
01월 20일,,46.39
01월 21일,,47.78
01월 22일,,46.31
01월 23일,,45.59
01월 26일,,45.15
01월 27일,,46.23
01월 28일,,44.45
01월 29일,,44.53
01월 30일,,48.24
02월 02일,,49.57
02월 03일,,53.05
02월 04일,,48.45
02월 05일,,50.48
02월 06일,,51.69
02월 09일,,52.86
02월 10일,,50.02
02월 11일,,48.84
02월 12일,,51.21
02월 13일,,52.78
02월 17일,,53.53
02월 18일,,52.14
02월 19일,,51.16
02월 20일,,50.34
02월 23일,,49.45
02월 24일,,49.28
02월 25일,,50.99
02월 26일,,48.17
02월 27일,,49.76
03월 02일,,49.59
03월 03일,,50.52
03월 04일,,51.53
03월 05일,,50.76
03월 06일,,49.61
03월 09일,,50.00
03월 10일,,48.29
03월 11일,,48.17
03월 12일,,47.05
03월 13일,,44.84
03월 16일,,43.88
03월 17일,,43.46
03월 18일,,44.66
03월 19일,,43.96
03월 20일,,45.72
03월 23일,,47.45
03월 24일,,47.51
03월 25일,,49.21
03월 26일,,51.43
03월 27일,,48.87
03월 30일,,48.68
03월 31일,,47.60
04월 01일,,50.09
04월 02일,,49.14
04월 06일,,52.14
04월 07일,,53.98
04월 08일,,50.42
04월 09일,,50.79
04월 10일,,51.64
04월 13일,,51.91
04월 14일,,53.29
04월 15일,,56.39
04월 16일,,56.71
04월 17일,,55.74
04월 20일,,56.38
04월 21일,,55.26
04월 22일,,56.16
04월 23일,,57.74
04월 24일,,57.15
04월 27일,,56.99
04월 28일,,57.06
04월 29일,,58.58
04월 30일,,59.63
05월 01일,,59.15
05월 04일,,58.93
05월 05일,,60.40
05월 06일,,60.93
05월 07일,,58.94
05월 08일,,59.39
05월 11일,,59.25
05월 12일,,60.75
05월 13일,,60.50
05월 14일,,59.88
05월 15일,,59.69
05월 18일,,59.43
05월 19일,,57.26
05월 20일,,58.98
05월 21일,,60.72
05월 22일,,59.72
05월 26일,,58.03
05월 27일,,57.51
05월 28일,,57.68
05월 29일,,60.30
06월 01일,,60.20
06월 02일,,61.26
06월 03일,,59.64
06월 04일,,58.00
06월 05일,,59.13
06월 08일,,58.14
06월 09일,,60.14
06월 10일,,61.43
06월 11일,,60.77
06월 12일,,59.96
06월 15일,,59.52
06월 16일,,59.97
06월 17일,,59.92
06월 18일,,60.45
06월 19일,,59.61
06월 22일,,59.68
06월 23일,,61.01
06월 24일,,60.27
06월 25일,,59.70
06월 26일,,59.63
06월 29일,,58.33
06월 30일,,59.47
07월 01일,,56.96
07월 02일,,56.93
07월 06일,,52.53
07월 07일,,52.33
07월 08일,,51.65
07월 09일,,52.78
07월 10일,,52.74
07월 13일,,52.20
07월 14일,,53.04
07월 15일,,51.41
07월 16일,,50.91
07월 17일,,50.89
07월 20일,,50.15
07월 21일,,50.36
07월 22일,,49.19
07월 23일,,48.45
07월 24일,,48.14
07월 27일,,47.39
07월 28일,,47.98
07월 29일,,48.79
07월 30일,,48.52
07월 31일,,47.12
08월 03일,,45.17
08월 04일,,45.74
08월 05일,,45.15
08월 06일,,44.66
08월 07일,,43.87
08월 10일,,44.96
08월 11일,,43.08
08월 12일,,43.30
08월 13일,,42.23
08월 14일,,42.50
08월 17일,,41.87
08월 18일,,42.62
08월 19일,,40.80
08월 20일,,41.14
08월 21일,,40.45
08월 24일,,38.24
08월 25일,,39.31
08월 26일,,38.60
08월 27일,,42.56
08월 28일,,45.22
08월 31일,,49.20
09월 01일,,45.41
09월 02일,,46.25
09월 03일,,46.75
09월 04일,,46.05
09월 08일,,45.94
09월 09일,,44.15
09월 10일,,45.92
09월 11일,,44.63
09월 14일,,44.00
09월 15일,,44.59
09월 16일,,47.15
09월 17일,,46.90
09월 18일,,44.68
09월 21일,,46.68
09월 22일,,45.83
09월 23일,,44.48
09월 24일,,44.91
09월 25일,,45.70
09월 28일,,44.43
09월 29일,,45.23
09월 30일,,45.09
10월 01일,,44.74
10월 02일,,45.54
10월 05일,,46.26
10월 06일,,48.53
10월 07일,,47.81
10월 08일,,49.43
10월 09일,,49.63
10월 12일,,47.10
10월 13일,,46.66
10월 14일,,46.64
10월 15일,,46.38
10월 16일,,47.26
10월 19일,,45.89
10월 20일,,45.55
10월 21일,,45.20
10월 22일,,45.38
10월 23일,,44.60
10월 26일,,43.98
10월 27일,,43.20
10월 28일,,45.94
10월 29일,,46.06
10월 30일,,46.59
11월 02일,,46.14
11월 03일,,47.90
11월 04일,,46.32
11월 05일,,45.20
11월 06일,,44.29
11월 09일,,43.87
11월 10일,,44.21
11월 11일,,42.93
11월 12일,,41.75
11월 13일,,40.74
11월 16일,,41.74
11월 17일,,40.67
11월 18일,,40.75
11월 19일,,40.54
11월 20일,,40.39
11월 23일,,41.75
11월 24일,,42.87
11월 25일,,43.04
11월 27일,,41.71
11월 30일,,41.65
12월 01일,,41.85
12월 02일,,39.94
