﻿일,유종,WTI
01월 02일,,60.37
01월 03일,,61.63
01월 04일,,62.01
01월 05일,,61.44
01월 08일,,61.73
01월 09일,,62.96
01월 10일,,63.57
01월 11일,,63.80
01월 12일,,64.30
01월 16일,,63.73
01월 17일,,63.97
01월 18일,,63.95
01월 19일,,63.37
01월 22일,,63.49
01월 23일,,64.47
01월 24일,,65.61
01월 25일,,65.51
01월 26일,,66.14
01월 29일,,65.56
01월 30일,,64.50
01월 31일,,64.73
02월 01일,,65.80
02월 02일,,65.45
02월 05일,,64.15
02월 06일,,63.39
02월 07일,,61.79
02월 08일,,61.15
02월 09일,,59.20
02월 12일,,59.29
02월 13일,,59.19
02월 14일,,60.60
02월 15일,,61.34
02월 16일,,61.68
02월 20일,,61.90
02월 21일,,61.68
02월 22일,,62.77
02월 23일,,63.55
02월 26일,,63.91
02월 27일,,63.01
02월 28일,,61.64
03월 01일,,60.99
03월 02일,,61.25
03월 05일,,62.57
03월 06일,,62.60
03월 07일,,61.15
03월 08일,,60.12
03월 09일,,62.04
03월 12일,,61.36
03월 13일,,60.71
03월 14일,,60.96
03월 15일,,61.19
03월 16일,,62.34
03월 19일,,62.06
03월 20일,,63.40
03월 21일,,65.17
03월 22일,,64.30
03월 23일,,65.88
03월 26일,,65.55
03월 27일,,65.25
03월 28일,,64.38
03월 29일,,64.94
04월 02일,,63.01
04월 03일,,63.51
04월 04일,,63.37
04월 05일,,63.54
04월 06일,,62.06
04월 09일,,63.42
04월 10일,,65.51
04월 11일,,66.82
04월 12일,,67.07
04월 13일,,67.39
04월 16일,,66.22
04월 17일,,66.52
04월 18일,,68.47
04월 19일,,68.29
04월 20일,,68.38
04월 23일,,68.64
04월 24일,,67.70
04월 25일,,68.05
04월 26일,,68.19
04월 27일,,68.10
04월 30일,,68.57
05월 01일,,67.25
05월 02일,,67.93
05월 03일,,68.43
05월 04일,,69.72
05월 07일,,70.73
05월 08일,,69.06
05월 09일,,71.14
05월 10일,,71.36
05월 11일,,70.70
05월 14일,,70.96
05월 15일,,71.31
05월 16일,,71.49
05월 17일,,71.49
05월 18일,,71.28
05월 21일,,72.24
05월 22일,,72.13
05월 23일,,71.84
05월 24일,,70.71
05월 25일,,67.88
05월 29일,,66.73
05월 30일,,68.21
05월 31일,,67.04
06월 01일,,65.81
06월 04일,,64.75
06월 05일,,65.52
06월 06일,,64.73
06월 07일,,65.95
06월 08일,,65.74
06월 11일,,66.10
06월 12일,,66.36
06월 13일,,66.64
06월 14일,,66.89
06월 15일,,65.06
06월 18일,,65.85
06월 19일,,65.07
06월 20일,,66.22
06월 21일,,65.54
06월 22일,,68.58
06월 25일,,68.08
06월 26일,,70.53
06월 27일,,72.76
06월 28일,,73.45
06월 29일,,74.15
07월 02일,,73.94
07월 03일,,74.14
07월 05일,,72.94
07월 06일,,73.80
07월 09일,,73.85
07월 10일,,74.11
07월 11일,,70.38
07월 12일,,70.33
07월 13일,,71.01
07월 16일,,68.06
07월 17일,,68.08
07월 18일,,68.76
07월 19일,,69.46
07월 20일,,70.46
07월 23일,,67.89
07월 24일,,68.52
07월 25일,,69.30
07월 26일,,69.61
07월 27일,,68.69
07월 30일,,70.13
07월 31일,,68.76
08월 01일,,67.66
08월 02일,,68.96
08월 03일,,68.49
08월 06일,,69.01
08월 07일,,69.17
08월 08일,,66.94
08월 09일,,66.81
08월 10일,,67.63
08월 13일,,67.20
08월 14일,,67.04
08월 15일,,65.01
08월 16일,,65.46
08월 17일,,65.91
08월 20일,,66.43
08월 21일,,67.35
08월 22일,,67.86
08월 23일,,67.83
08월 24일,,68.72
08월 27일,,68.87
08월 28일,,68.53
08월 29일,,69.51
08월 30일,,70.25
08월 31일,,69.80
09월 04일,,69.87
09월 05일,,68.72
09월 06일,,67.77
09월 07일,,67.75
09월 10일,,67.54
09월 11일,,69.25
09월 12일,,70.37
09월 13일,,68.59
09월 14일,,68.99
09월 17일,,68.91
09월 18일,,69.85
09월 19일,,71.12
09월 20일,,70.80
09월 21일,,70.78
09월 24일,,72.08
09월 25일,,72.28
09월 26일,,71.57
09월 27일,,72.12
09월 28일,,73.25
10월 01일,,75.30
10월 02일,,75.23
10월 03일,,76.41
10월 04일,,74.33
10월 05일,,74.34
10월 08일,,74.29
10월 09일,,74.96
10월 10일,,73.17
10월 11일,,70.97
10월 12일,,71.34
10월 15일,,71.78
10월 16일,,71.92
10월 17일,,69.75
10월 18일,,68.65
10월 19일,,69.12
10월 22일,,69.17
10월 23일,,66.43
10월 24일,,66.82
10월 25일,,67.33
10월 26일,,67.59
10월 29일,,67.04
10월 30일,,66.18
10월 31일,,65.31
11월 01일,,63.69
11월 02일,,63.14
11월 05일,,63.10
11월 06일,,62.21
11월 07일,,61.67
11월 08일,,60.67
11월 09일,,60.19
11월 12일,,59.93
11월 13일,,55.69
11월 14일,,56.25
11월 15일,,56.46
11월 16일,,56.46
11월 19일,,56.76
11월 20일,,53.43
11월 21일,,54.63
11월 23일,,50.42
11월 26일,,51.63
11월 27일,,51.56
11월 28일,,50.29
11월 29일,,51.45
11월 30일,,50.93
12월 03일,,52.95
12월 04일,,53.25
12월 05일,,52.89
12월 06일,,51.49
12월 07일,,52.61
12월 10일,,51.00
