﻿일,유종,WTI
01월 02일,,46.54
01월 03일,,47.09
01월 04일,,47.96
01월 07일,,48.52
01월 08일,,49.78
01월 09일,,52.36
01월 10일,,52.59
01월 11일,,51.59
01월 14일,,50.51
01월 15일,,52.11
01월 16일,,52.31
01월 17일,,52.07
01월 18일,,53.80
01월 22일,,52.57
01월 23일,,52.62
01월 24일,,53.13
01월 25일,,53.69
01월 28일,,51.99
01월 29일,,53.31
01월 30일,,54.23
01월 31일,,53.79
02월 01일,,55.26
02월 04일,,54.56
02월 05일,,53.66
02월 06일,,54.01
02월 07일,,52.64
02월 08일,,52.72
02월 11일,,52.41
02월 12일,,53.10
02월 13일,,53.90
02월 14일,,54.41
02월 15일,,55.59
02월 19일,,56.09
02월 20일,,56.92
02월 21일,,56.96
02월 22일,,57.26
02월 25일,,55.48
02월 26일,,55.50
02월 27일,,56.94
02월 28일,,57.22
03월 01일,,55.80
03월 04일,,56.59
03월 05일,,56.56
03월 06일,,56.22
03월 07일,,56.66
03월 08일,,56.07
03월 11일,,56.79
03월 12일,,56.87
03월 13일,,58.26
03월 14일,,58.61
03월 15일,,58.52
03월 18일,,59.09
03월 19일,,59.03
03월 20일,,59.83
03월 21일,,59.98
03월 22일,,59.04
03월 25일,,58.82
03월 26일,,59.94
03월 27일,,59.41
03월 28일,,59.30
03월 29일,,60.14
04월 01일,,61.59
04월 02일,,62.58
04월 03일,,62.46
04월 04일,,62.10
04월 05일,,63.08
04월 08일,,64.40
04월 09일,,63.98
04월 10일,,64.61
04월 11일,,63.58
04월 12일,,63.89
04월 15일,,63.40
04월 16일,,64.05
04월 17일,,63.76
04월 18일,,64.00
04월 22일,,65.70
04월 23일,,66.30
04월 24일,,65.89
04월 25일,,65.21
04월 26일,,63.30
04월 29일,,63.50
04월 30일,,63.91
05월 01일,,63.60
05월 02일,,61.81
05월 03일,,61.94
05월 06일,,62.25
05월 07일,,61.40
05월 08일,,62.12
05월 09일,,61.70
05월 10일,,61.66
05월 13일,,61.04
05월 14일,,61.78
05월 15일,,62.02
05월 16일,,62.87
05월 17일,,62.76
05월 20일,,63.10
05월 21일,,62.99
05월 22일,,61.42
05월 23일,,57.91
05월 24일,,58.63
05월 28일,,59.14
05월 29일,,58.81
05월 30일,,56.59
05월 31일,,53.50
06월 03일,,53.25
06월 04일,,53.48
06월 05일,,51.68
06월 06일,,52.59
06월 07일,,53.99
06월 10일,,53.26
06월 11일,,53.27
06월 12일,,51.14
06월 13일,,52.28
06월 14일,,52.51
06월 17일,,51.93
06월 18일,,53.90
06월 19일,,53.76
06월 20일,,56.65
06월 21일,,57.43
06월 24일,,57.90
06월 25일,,57.83
06월 26일,,59.38
06월 27일,,59.43
06월 28일,,58.47
07월 01일,,59.09
07월 02일,,56.25
07월 03일,,57.34
07월 05일,,57.51
07월 08일,,57.66
07월 09일,,57.83
07월 10일,,60.43
07월 11일,,60.20
07월 12일,,60.21
07월 15일,,59.58
07월 16일,,57.62
07월 17일,,56.78
07월 18일,,55.30
07월 19일,,55.63
07월 22일,,56.22
07월 23일,,56.77
07월 24일,,55.88
07월 25일,,56.02
07월 26일,,56.20
07월 29일,,56.87
07월 30일,,58.05
07월 31일,,58.58
08월 01일,,53.95
08월 02일,,55.66
08월 05일,,54.69
08월 06일,,53.63
08월 07일,,51.09
08월 08일,,52.54
08월 09일,,54.50
08월 12일,,54.93
08월 13일,,57.10
08월 14일,,55.23
08월 15일,,54.47
08월 16일,,54.87
08월 19일,,56.21
08월 20일,,56.34
08월 21일,,55.68
08월 22일,,55.35
08월 23일,,54.17
08월 26일,,53.64
08월 27일,,54.93
08월 28일,,55.78
08월 29일,,56.71
08월 30일,,55.10
09월 03일,,53.94
09월 04일,,56.26
09월 05일,,56.30
09월 06일,,56.52
09월 09일,,57.85
09월 10일,,57.40
09월 11일,,55.75
09월 12일,,55.09
09월 13일,,54.85
09월 16일,,62.90
09월 17일,,59.34
09월 18일,,58.11
09월 19일,,58.13
09월 20일,,58.09
09월 23일,,58.64
09월 24일,,57.29
09월 25일,,56.49
09월 26일,,56.41
09월 27일,,55.91
09월 30일,,54.07
10월 01일,,53.62
10월 02일,,52.64
10월 03일,,52.45
10월 04일,,52.81
10월 07일,,52.75
10월 08일,,52.63
10월 09일,,52.59
10월 10일,,53.55
