﻿일,유종,WTI
01월 03일,,102.96
01월 04일,,103.22
01월 05일,,101.81
01월 06일,,101.56
01월 09일,,101.31
01월 10일,,102.24
01월 11일,,100.87
01월 12일,,99.10
01월 13일,,98.70
01월 17일,,100.71
01월 18일,,100.59
01월 19일,,100.39
01월 20일,,98.46
01월 23일,,99.58
01월 24일,,98.95
01월 25일,,99.40
01월 26일,,99.70
01월 27일,,99.56
01월 30일,,98.78
01월 31일,,98.48
02월 01일,,97.61
02월 02일,,96.36
02월 03일,,97.84
02월 06일,,96.91
02월 07일,,98.41
02월 08일,,98.71
02월 09일,,99.84
02월 10일,,98.67
02월 13일,,100.91
02월 14일,,100.74
02월 15일,,101.80
02월 16일,,102.32
02월 17일,,103.24
02월 21일,,105.84
02월 22일,,106.28
02월 23일,,107.83
02월 24일,,109.77
02월 27일,,108.56
02월 28일,,106.55
02월 29일,,107.07
03월 01일,,108.84
03월 02일,,106.70
03월 05일,,106.72
03월 06일,,104.70
03월 07일,,106.16
03월 08일,,106.58
03월 09일,,107.40
03월 12일,,106.34
03월 13일,,106.71
03월 14일,,105.43
03월 15일,,105.11
03월 16일,,107.06
03월 19일,,108.09
03월 20일,,105.61
03월 21일,,107.27
03월 22일,,105.35
03월 23일,,106.87
03월 26일,,107.03
03월 27일,,107.33
03월 28일,,105.41
03월 29일,,102.78
03월 30일,,103.02
04월 02일,,105.23
04월 03일,,104.01
04월 04일,,101.47
04월 05일,,103.31
04월 09일,,102.46
04월 10일,,101.02
04월 11일,,102.70
04월 12일,,103.64
04월 13일,,102.83
04월 16일,,102.93
04월 17일,,104.20
04월 18일,,102.67
04월 19일,,102.27
04월 20일,,103.05
04월 23일,,103.11
04월 24일,,103.55
04월 25일,,104.12
04월 26일,,104.55
04월 27일,,104.93
04월 30일,,104.87
05월 01일,,106.16
05월 02일,,105.22
05월 03일,,102.54
05월 04일,,98.49
05월 07일,,97.94
05월 08일,,97.01
05월 09일,,96.81
05월 10일,,97.08
05월 11일,,96.13
05월 14일,,94.78
05월 15일,,93.98
05월 16일,,92.81
05월 17일,,92.56
05월 18일,,91.48
05월 21일,,92.57
05월 22일,,91.66
05월 23일,,89.90
05월 24일,,90.66
05월 25일,,90.86
05월 29일,,90.76
05월 30일,,87.82
05월 31일,,86.53
06월 01일,,83.23
06월 04일,,83.98
06월 05일,,84.29
06월 06일,,85.02
06월 07일,,84.82
06월 08일,,84.10
06월 11일,,82.70
06월 12일,,83.32
06월 13일,,82.62
06월 14일,,83.91
06월 15일,,84.03
06월 18일,,83.27
06월 19일,,84.03
06월 20일,,81.80
06월 21일,,78.20
06월 22일,,79.76
06월 25일,,79.21
06월 26일,,79.36
06월 27일,,80.21
06월 28일,,77.69
06월 29일,,84.96
07월 02일,,83.75
07월 03일,,87.66
07월 05일,,87.22
