﻿일,유종,WTI
07월 06일,,84.45
07월 09일,,85.99
07월 10일,,83.91
07월 11일,,85.81
07월 12일,,86.08
07월 13일,,87.10
07월 16일,,88.43
07월 17일,,89.22
07월 18일,,89.87
07월 19일,,92.66
07월 20일,,91.44
07월 23일,,88.14
07월 24일,,88.50
07월 25일,,88.97
07월 26일,,89.39
07월 27일,,90.13
07월 30일,,89.78
07월 31일,,88.06
08월 01일,,88.91
08월 02일,,87.13
08월 03일,,91.40
08월 06일,,92.20
08월 07일,,93.67
08월 08일,,93.35
08월 09일,,93.36
08월 10일,,92.87
08월 13일,,92.73
08월 14일,,93.43
08월 15일,,94.33
08월 16일,,95.60
08월 17일,,96.01
08월 20일,,95.97
08월 21일,,96.68
08월 22일,,97.26
08월 23일,,96.27
08월 24일,,96.15
08월 27일,,95.47
08월 28일,,96.33
08월 29일,,95.49
08월 30일,,94.62
08월 31일,,96.47
09월 04일,,95.30
09월 05일,,95.36
09월 06일,,95.53
09월 07일,,96.42
09월 10일,,96.54
09월 11일,,97.17
09월 12일,,97.01
09월 13일,,98.31
09월 14일,,99.00
09월 17일,,96.62
09월 18일,,95.29
09월 19일,,91.98
09월 20일,,91.87
09월 21일,,92.89
09월 24일,,91.93
09월 25일,,91.37
09월 26일,,89.98
09월 27일,,91.85
09월 28일,,92.19
10월 01일,,92.48
10월 02일,,91.89
10월 03일,,88.14
10월 04일,,91.71
10월 05일,,89.88
10월 08일,,89.33
10월 09일,,92.39
10월 10일,,91.25
10월 11일,,92.07
10월 12일,,91.86
10월 15일,,91.85
10월 16일,,92.09
10월 17일,,92.12
10월 18일,,92.10
10월 19일,,90.05
10월 22일,,88.73
10월 23일,,86.67
10월 24일,,85.73
10월 25일,,86.05
10월 26일,,86.28
10월 29일,,85.54
10월 30일,,85.68
10월 31일,,86.24
11월 01일,,87.09
11월 02일,,84.86
11월 05일,,85.65
11월 06일,,88.71
11월 07일,,84.44
11월 08일,,85.09
11월 09일,,86.07
11월 12일,,85.57
11월 13일,,85.38
11월 14일,,86.32
11월 15일,,85.45
11월 16일,,86.67
11월 19일,,89.28
11월 20일,,86.75
11월 21일,,87.38
11월 23일,,88.28
11월 26일,,87.74
11월 27일,,87.18
11월 28일,,86.49
11월 29일,,88.07
11월 30일,,88.91
12월 03일,,89.09
12월 04일,,88.50
12월 05일,,87.88
12월 06일,,86.26
12월 07일,,85.93
12월 10일,,85.56
12월 11일,,85.79
12월 12일,,86.77
12월 13일,,85.89
12월 14일,,86.73
12월 17일,,87.20
12월 18일,,87.93
12월 19일,,89.51
12월 20일,,90.13
12월 21일,,88.66
12월 24일,,88.61
12월 26일,,90.98
12월 27일,,90.87
12월 28일,,90.80
12월 31일,,91.82
전일비,,1.02
전주비,,3.21
전월동일비,,2.91
전년동일비,,-7.01
평균,,94.15
