﻿일,유종,WTI
01월 03일,,91.55
01월 04일,,89.38
01월 05일,,90.30
01월 06일,,88.38
01월 07일,,88.03
01월 10일,,89.25
01월 11일,,91.11
01월 12일,,91.86
01월 13일,,91.40
01월 14일,,91.54
01월 18일,,91.38
01월 19일,,90.86
01월 20일,,88.86
01월 21일,,89.11
01월 24일,,87.87
01월 25일,,86.19
01월 26일,,87.33
01월 27일,,85.64
01월 28일,,89.34
01월 31일,,92.19
02월 01일,,90.77
02월 02일,,90.86
02월 03일,,90.54
02월 04일,,89.03
02월 07일,,87.48
02월 08일,,86.94
02월 09일,,86.71
02월 10일,,86.73
02월 11일,,85.58
02월 14일,,84.81
02월 15일,,84.32
02월 16일,,84.99
02월 17일,,86.36
02월 18일,,86.20
02월 22일,,93.57
02월 23일,,98.10
02월 24일,,97.28
02월 25일,,97.88
02월 28일,,96.97
03월 01일,,99.63
03월 02일,,102.23
03월 03일,,101.91
03월 04일,,104.42
03월 07일,,105.44
03월 08일,,105.02
03월 09일,,104.38
03월 10일,,102.70
03월 11일,,101.16
03월 14일,,101.19
03월 15일,,97.18
03월 16일,,97.98
03월 17일,,101.42
03월 18일,,101.07
03월 21일,,102.33
03월 22일,,104.00
03월 23일,,105.75
03월 24일,,105.60
03월 25일,,105.40
03월 28일,,103.98
03월 29일,,104.79
03월 30일,,104.27
03월 31일,,106.72
04월 01일,,107.94
04월 04일,,108.47
04월 05일,,108.34
04월 06일,,108.83
04월 07일,,110.30
04월 08일,,112.79
04월 11일,,109.92
04월 12일,,106.25
04월 13일,,107.11
04월 14일,,108.11
04월 15일,,109.66
04월 18일,,107.12
04월 19일,,108.15
04월 20일,,111.45
04월 21일,,112.29
04월 25일,,112.28
04월 26일,,112.21
04월 27일,,112.76
04월 28일,,112.86
04월 29일,,113.93
05월 02일,,113.52
05월 03일,,111.05
05월 04일,,109.24
05월 05일,,99.80
05월 06일,,97.18
05월 09일,,102.55
05월 10일,,103.88
05월 11일,,98.21
05월 12일,,98.97
05월 13일,,99.65
05월 16일,,97.37
05월 17일,,96.91
05월 18일,,100.10
05월 19일,,98.44
05월 20일,,99.49
05월 23일,,97.70
05월 24일,,99.59
05월 25일,,101.32
05월 26일,,100.23
05월 27일,,100.59
05월 31일,,102.70
06월 01일,,100.29
06월 02일,,100.40
06월 03일,,100.22
06월 06일,,99.01
06월 07일,,99.09
06월 08일,,100.74
06월 09일,,101.93
06월 10일,,99.29
06월 13일,,97.30
06월 14일,,99.37
06월 15일,,94.81
06월 16일,,94.95
06월 17일,,93.01
06월 20일,,93.26
06월 21일,,93.40
06월 22일,,95.41
06월 23일,,91.02
06월 24일,,91.16
06월 27일,,90.61
06월 28일,,92.89
06월 29일,,94.77
06월 30일,,95.42
07월 01일,,94.94
07월 05일,,96.89
07월 06일,,96.65
07월 07일,,98.67
07월 08일,,96.20
07월 11일,,95.15
07월 12일,,97.43
07월 13일,,98.05
07월 14일,,95.69
07월 15일,,97.24
07월 18일,,95.93
07월 19일,,97.50
07월 20일,,98.14
07월 21일,,99.13
07월 22일,,99.87
07월 25일,,99.20
07월 26일,,99.59
07월 27일,,97.40
07월 28일,,97.44
07월 29일,,95.70
08월 01일,,94.89
08월 02일,,93.79
08월 03일,,91.93
08월 04일,,86.63
08월 05일,,86.88
08월 08일,,81.31
08월 09일,,79.30
08월 10일,,82.89
08월 11일,,85.72
08월 12일,,85.38
08월 15일,,87.88
08월 16일,,86.65
08월 17일,,87.58
08월 18일,,82.38
08월 19일,,82.26
08월 22일,,84.12
08월 23일,,85.44
08월 24일,,85.16
08월 25일,,85.30
08월 26일,,85.37
08월 29일,,87.27
08월 30일,,88.90
08월 31일,,88.81
09월 01일,,88.93
09월 02일,,86.45
09월 06일,,86.02
09월 07일,,89.34
09월 08일,,89.05
09월 09일,,87.24
09월 12일,,88.19
09월 13일,,90.21
09월 14일,,88.91
09월 15일,,89.40
09월 16일,,87.96
09월 19일,,85.70
09월 20일,,86.89
09월 21일,,85.92
09월 22일,,80.51
09월 23일,,79.85
09월 26일,,80.24
09월 27일,,84.45
09월 28일,,81.21
09월 29일,,82.14
09월 30일,,79.20
10월 03일,,77.61
10월 04일,,75.67
10월 05일,,79.68
10월 06일,,82.59
10월 07일,,82.98
10월 10일,,85.41
10월 11일,,85.81
10월 12일,,85.57
10월 13일,,84.23
10월 14일,,86.80
10월 17일,,86.38
10월 18일,,88.34
10월 19일,,86.11
10월 20일,,85.30
10월 21일,,87.40
10월 24일,,91.27
10월 25일,,93.17
10월 26일,,90.20
10월 27일,,93.96
10월 28일,,93.32
