﻿일,유종,WTI
02월 16일,,77.01
02월 17일,,77.33
02월 18일,,79.06
02월 19일,,79.81
02월 22일,,80.16
02월 23일,,78.86
02월 24일,,80.00
02월 25일,,78.17
02월 26일,,79.66
03월 01일,,78.70
03월 02일,,79.68
03월 03일,,80.87
03월 04일,,80.21
03월 05일,,81.50
03월 08일,,81.87
03월 09일,,81.49
03월 10일,,82.09
03월 11일,,82.11
03월 12일,,81.24
03월 15일,,79.80
03월 16일,,81.70
03월 17일,,82.93
03월 18일,,82.20
03월 19일,,80.68
03월 22일,,81.25
03월 23일,,81.91
03월 24일,,80.61
03월 25일,,80.53
03월 26일,,80.00
03월 29일,,82.17
03월 30일,,82.37
03월 31일,,83.76
04월 01일,,84.87
04월 05일,,86.62
04월 06일,,86.84
04월 07일,,85.88
04월 08일,,85.39
04월 09일,,84.92
04월 12일,,84.34
04월 13일,,84.05
04월 14일,,85.84
04월 15일,,85.51
04월 16일,,83.24
04월 19일,,81.45
04월 20일,,83.45
04월 21일,,83.68
04월 22일,,83.70
04월 23일,,85.12
04월 26일,,84.20
04월 27일,,82.44
04월 28일,,83.22
04월 29일,,85.17
04월 30일,,86.15
05월 03일,,86.19
05월 04일,,82.74
05월 05일,,79.97
05월 06일,,77.11
05월 07일,,75.11
05월 10일,,76.80
05월 11일,,76.37
05월 12일,,75.65
05월 13일,,74.40
05월 14일,,71.61
05월 17일,,70.08
05월 18일,,69.41
05월 19일,,69.87
05월 20일,,68.01
05월 21일,,70.04
05월 24일,,70.21
05월 25일,,68.75
05월 26일,,71.51
05월 27일,,74.55
05월 28일,,73.97
06월 01일,,72.58
06월 02일,,72.86
06월 03일,,74.61
06월 04일,,71.51
06월 07일,,71.44
06월 08일,,71.99
06월 09일,,74.38
06월 10일,,75.48
06월 11일,,73.78
06월 14일,,75.12
06월 15일,,76.94
06월 16일,,77.67
06월 17일,,76.79
06월 18일,,77.18
06월 21일,,77.82
06월 22일,,77.21
06월 23일,,76.35
06월 24일,,76.51
06월 25일,,78.86
06월 28일,,78.25
06월 29일,,75.94
06월 30일,,75.63
07월 01일,,72.95
07월 02일,,72.14
07월 06일,,71.98
07월 07일,,74.07
07월 08일,,75.44
07월 09일,,76.09
07월 12일,,74.95
07월 13일,,77.15
07월 14일,,77.04
07월 15일,,76.62
07월 16일,,76.01
07월 19일,,76.54
07월 20일,,77.44
07월 21일,,76.56
07월 22일,,79.30
07월 23일,,78.98
07월 26일,,78.98
07월 27일,,77.50
07월 28일,,76.99
07월 29일,,78.36
07월 30일,,78.95
08월 02일,,81.34
08월 03일,,82.55
08월 04일,,82.47
08월 05일,,82.01
08월 06일,,80.70
08월 09일,,81.48
08월 10일,,80.25
08월 11일,,78.02
08월 12일,,75.74
08월 13일,,75.39
08월 16일,,75.24
08월 17일,,75.77
08월 18일,,75.42
08월 19일,,74.43
08월 20일,,73.46
08월 23일,,73.10
08월 24일,,71.63
08월 25일,,72.52
08월 26일,,73.36
08월 27일,,75.17
08월 30일,,74.70
08월 31일,,71.92
09월 01일,,73.91
09월 02일,,75.02
09월 03일,,74.60
09월 07일,,74.09
09월 08일,,74.67
09월 09일,,74.25
09월 10일,,76.45
09월 13일,,77.19
09월 14일,,76.80
09월 15일,,76.02
09월 16일,,74.57
09월 17일,,73.66
09월 20일,,74.86
09월 21일,,73.52
09월 22일,,74.71
09월 23일,,75.18
09월 24일,,76.49
09월 27일,,76.52
09월 28일,,76.18
09월 29일,,77.86
09월 30일,,79.97
10월 01일,,81.58
10월 04일,,81.47
10월 05일,,82.82
10월 06일,,83.23
10월 07일,,81.67
10월 08일,,82.66
10월 11일,,82.21
10월 12일,,81.67
10월 13일,,83.01
10월 14일,,82.69
10월 15일,,81.25
10월 18일,,83.08
10월 19일,,79.49
10월 20일,,81.77
10월 21일,,80.56
10월 22일,,81.69
10월 25일,,82.52
10월 26일,,82.55
10월 27일,,81.94
10월 28일,,82.18
10월 29일,,81.43
11월 01일,,82.95
11월 02일,,83.90
11월 03일,,84.69
11월 04일,,86.49
11월 05일,,86.85
11월 08일,,87.06
11월 09일,,86.72
11월 10일,,87.81
11월 11일,,87.81
11월 12일,,84.88
11월 15일,,84.86
11월 16일,,82.34
11월 17일,,80.44
11월 18일,,81.85
11월 19일,,81.51
11월 22일,,81.74
11월 23일,,81.25
11월 24일,,83.86
11월 26일,,83.76
11월 29일,,85.73
11월 30일,,84.11
12월 01일,,86.75
12월 02일,,88.00
12월 03일,,89.19
12월 06일,,89.38
12월 07일,,88.69
12월 08일,,88.28
12월 09일,,88.37
12월 10일,,87.79
12월 13일,,88.61
12월 14일,,88.28
12월 15일,,88.62
12월 16일,,87.70
12월 17일,,88.02
12월 20일,,88.81
12월 21일,,89.82
12월 22일,,90.48
12월 23일,,91.51
12월 27일,,91.00
12월 28일,,91.49
12월 29일,,91.12
12월 30일,,89.84
12월 31일,,91.38
전일비,,1.54
전주비,,-
전월동일비,,7.27
전년동일비,,12.02
평균,,79.95
