﻿일,유종,WTI
01월 02일,,61.18
01월 03일,,63.05
01월 06일,,63.27
01월 07일,,62.70
01월 08일,,59.61
01월 09일,,59.56
01월 10일,,59.04
01월 13일,,58.08
01월 14일,,58.23
01월 15일,,57.81
01월 16일,,58.52
01월 17일,,58.54
01월 21일,,58.34
01월 22일,,56.74
01월 23일,,55.59
01월 24일,,54.19
01월 27일,,53.14
01월 28일,,53.48
01월 29일,,53.33
01월 30일,,52.14
01월 31일,,51.56
02월 03일,,50.11
02월 04일,,49.61
02월 05일,,50.75
02월 06일,,50.95
02월 07일,,50.32
02월 10일,,49.57
02월 11일,,49.94
02월 12일,,51.17
02월 13일,,51.42
전일비,,0.25
전주비,,0.47
전월동일비,,-6.66
전년동일비,,-2.48
평균,,55.40
