﻿일,유종,WTI
05월 28일,,95.01
05월 29일,,93.13
05월 30일,,93.61
05월 31일,,91.97
06월 03일,,93.45
06월 04일,,93.31
06월 05일,,93.74
06월 06일,,94.76
06월 07일,,96.03
06월 10일,,95.77
06월 11일,,95.38
06월 12일,,95.88
06월 13일,,96.69
06월 14일,,97.85
06월 17일,,97.77
06월 18일,,98.44
06월 19일,,98.24
06월 20일,,95.40
06월 21일,,93.69
06월 24일,,95.18
06월 25일,,95.32
06월 26일,,95.50
06월 27일,,97.05
06월 28일,,96.56
07월 01일,,97.99
07월 02일,,99.60
07월 03일,,101.24
07월 05일,,103.22
07월 08일,,103.14
07월 09일,,103.53
07월 10일,,106.52
07월 11일,,104.91
07월 12일,,105.95
07월 15일,,106.32
07월 16일,,106.00
07월 17일,,106.48
07월 18일,,108.04
07월 19일,,108.05
07월 22일,,106.91
07월 23일,,107.23
07월 24일,,105.39
07월 25일,,105.49
07월 26일,,104.70
07월 29일,,104.55
07월 30일,,103.08
07월 31일,,105.03
08월 01일,,107.89
08월 02일,,106.94
08월 05일,,106.56
08월 06일,,105.30
08월 07일,,104.37
08월 08일,,103.40
08월 09일,,105.97
08월 12일,,106.11
08월 13일,,106.83
08월 14일,,106.85
08월 15일,,107.33
08월 16일,,107.46
08월 19일,,107.10
08월 20일,,104.96
08월 21일,,103.85
08월 22일,,105.03
08월 23일,,106.42
08월 26일,,105.92
08월 27일,,109.01
08월 28일,,110.10
08월 29일,,108.80
08월 30일,,107.65
09월 03일,,108.54
09월 04일,,107.23
09월 05일,,108.37
09월 06일,,110.53
09월 09일,,109.52
09월 10일,,107.39
09월 11일,,107.56
09월 12일,,108.60
09월 13일,,108.21
09월 16일,,106.59
09월 17일,,105.42
09월 18일,,108.07
09월 19일,,106.39
09월 20일,,104.67
09월 23일,,103.59
09월 24일,,103.13
09월 25일,,102.66
09월 26일,,103.03
09월 27일,,102.87
09월 30일,,102.33
10월 01일,,102.04
10월 02일,,104.10
10월 03일,,103.31
10월 04일,,103.84
10월 07일,,103.03
10월 08일,,103.49
10월 09일,,101.61
10월 10일,,103.01
10월 11일,,102.02
10월 14일,,102.41
10월 15일,,101.21
10월 16일,,102.29
10월 17일,,100.67
10월 18일,,100.81
10월 21일,,99.22
10월 22일,,97.80
10월 23일,,96.86
10월 24일,,97.11
10월 25일,,97.85
10월 28일,,98.68
10월 29일,,98.20
10월 30일,,96.77
10월 31일,,96.38
11월 01일,,94.61
11월 04일,,94.62
11월 05일,,93.37
11월 06일,,94.80
11월 07일,,94.20
11월 08일,,94.60
11월 11일,,95.14
11월 12일,,93.04
11월 13일,,93.88
11월 14일,,93.76
11월 15일,,93.84
11월 18일,,93.03
11월 19일,,93.34
11월 20일,,93.33
11월 21일,,95.44
11월 22일,,94.84
11월 25일,,94.09
11월 26일,,93.68
11월 27일,,92.30
11월 29일,,92.72
12월 02일,,93.82
12월 03일,,96.04
12월 04일,,97.20
12월 05일,,97.38
12월 06일,,97.65
12월 09일,,97.34
12월 10일,,98.51
12월 11일,,97.44
12월 12일,,97.50
12월 13일,,96.60
12월 16일,,97.48
12월 17일,,97.22
12월 18일,,97.80
12월 19일,,98.77
12월 20일,,99.32
12월 23일,,98.91
12월 24일,,99.22
12월 26일,,99.55
12월 27일,,100.32
12월 30일,,99.29
12월 31일,,98.42
전일비,,-0.87
전주비,,-0.80
전월동일비,,5.70
전년동일비,,6.60
평균,,98.05
