,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,037330,인지디스플레,"1,825","40","2.2","1,780","1,850","1,770","746,224","1,354,330,725","80,090,533,800","0.03","43,885,224"
,037350,성도이엔지,"3,710","165","4.6","3,510","3,890","3,510","572,421","2,142,649,360","57,393,700,000","0.02","15,470,000"
,037370,EG,"8,820","0","0.0","8,800","8,890","8,720","62,219","557,463,620","66,150,000,000","0.02","7,500,000"
,037400,우리조명,"1,075","-20","-1.8","1,090","1,095","1,075","73,821","79,976,665","26,792,596,950","0.01","24,923,346"
,037440,희림,"3,680","-35","-0.9","3,715","3,715","3,650","15,926","58,454,830","51,234,708,000","0.02","13,922,475"
,037460,삼지전자,"11,300","0","0.0","11,400","11,650","11,150","287,561","3,282,969,300","184,399,298,600","0.06","16,318,522"
,037760,쎄니트,"1,940","20","1.0","1,930","1,955","1,885","298,698","570,436,650","65,635,866,740","0.02","33,832,921"
,037950,엘컴텍,"1,885","75","4.1","1,825","1,905","1,825","5,057,843","9,515,291,940","159,183,573,315","0.05","84,447,519"
,038010,제일테크노스,"5,020","-40","-0.8","5,060","5,100","4,910","254,006","1,265,451,505","45,180,000,000","0.02","9,000,000"
,038060,루멘스,"1,725","-10","-0.6","1,730","1,740","1,690","183,684","314,988,840","82,314,843,750","0.03","47,718,750"
,038070,서린바이오,"12,750","1,350","11.8","11,400","14,550","11,350","8,977,657","118,565,301,800","102,008,619,000","0.03","8,000,676"
,038110,에코플라스틱,"1,420","-25","-1.7","1,450","1,455","1,420","115,144","165,554,600","36,450,505,400","0.01","25,669,370"
,038160,팍스넷,"862","0","0.0","0","0","0","0","0","10,551,204,112","0.00","12,240,376"
,038290,마크로젠,"31,750","300","1.0","31,650","31,800","31,000","134,676","4,221,061,750","336,920,014,500","0.11","10,611,654"
,038340,UCI,"2,950","-50","-1.7","3,025","3,025","2,875","123,370","361,154,895","97,690,491,950","0.03","33,115,421"
,038390,레드캡투어,"12,250","-150","-1.2","12,400","12,400","12,000","6,156","75,633,450","105,221,130,000","0.04","8,589,480"
,038460,바이오스마트,"6,160","-60","-1.0","6,420","6,420","6,070","267,872","1,664,552,960","123,740,848,000","0.04","20,087,800"
,038500,삼표시멘트,"3,435","40","1.2","3,365","3,565","3,365","2,070,025","7,200,184,165","368,771,889,255","0.12","107,357,173"
,038530,골드퍼시픽,"1,430","-25","-1.7","1,465","1,490","1,420","806,856","1,169,767,730","63,832,900,560","0.02","44,638,392"
