,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,130660,한전산업,"3,295","0","0.0","3,315","3,315","3,275","36,950","121,565,540","107,417,000,000","0.01","32,600,000"
,133820,화인베스틸,"2,635","75","2.9","2,585","2,665","2,535","528,663","1,374,317,680","77,864,250,000","0.01","29,550,000"
,134380,미원화학,"52,500","100","0.2","52,200","52,600","52,200","54","2,834,600","115,461,570,000","0.01","2,199,268"
,134790,시디즈,"49,400","-450","-0.9","49,650","49,650","48,850","2,849","139,970,100","98,800,000,000","0.01","2,000,000"
,136490,선진,"10,450","-50","-0.5","10,450","10,550","10,350","32,772","341,741,500","248,496,861,800","0.02","23,779,604"
,138040,메리츠금융지주,"9,020","-50","-0.6","9,080","9,270","9,010","134,802","1,225,346,540","1,208,781,871,880","0.08","134,011,294"
,138250,엔에스쇼핑,"12,200","-100","-0.8","12,300","12,450","12,050","82,139","1,002,829,600","411,091,200,000","0.03","33,696,000"
,138490,코오롱플라스틱,"4,370","40","0.9","4,290","4,480","4,285","236,635","1,038,189,500","166,060,000,000","0.01","38,000,000"
,138930,BNK금융지주,"5,170","-40","-0.8","5,240","5,340","5,170","1,146,120","6,018,066,380","1,685,085,221,820","0.11","325,935,246"
,139130,DGB금융지주,"5,230","-50","-1.0","5,350","5,450","5,230","1,113,146","5,919,614,860","884,632,706,590","0.06","169,145,833"
,139480,이마트,"116,500","-1,500","-1.3","118,000","120,500","116,000","279,042","32,947,733,000","3,247,532,913,500","0.22","27,875,819"
,140910,에이리츠,"6,490","-40","-0.6","6,520","6,520","6,400","4,523","29,235,930","24,615,109,750","0.00","3,792,775"
,143210,핸즈코퍼레이션,"6,170","-10","-0.2","6,200","6,200","6,070","14,989","91,797,790","134,896,363,560","0.01","21,863,268"
,144620,코오롱머티리얼,"3,505","-160","-4.4","3,775","3,895","3,400","3,606,928","13,039,440,145","240,648,515,675","0.02","68,658,635"
,145210,세화아이엠씨,"1,135","-25","-2.2","1,170","1,195","1,095","2,538,891","2,883,334,675","92,042,523,090","0.01","81,094,734"
,145270,케이탑리츠,"767","-3","-0.4","769","770","765","59,234","45,399,969","35,453,905,409","0.00","46,224,127"
,145720,덴티움,"40,100","-700","-1.7","40,600","40,800","39,800","28,443","1,138,334,000","443,860,083,000","0.03","11,068,830"
,145990,삼양사,"59,500","4,600","8.4","64,800","68,800","55,600","1,200,115","74,848,818,400","613,650,215,500","0.04","10,313,449"
,145995,삼양사우,"51,900","6,100","13.3","59,500","59,500","50,700","262,830","15,037,956,500","19,206,633,000","0.00","370,070"
,152330,코리아오토글라스,"14,300","0","0.0","14,400","14,550","14,200","44,985","644,699,800","286,000,000,000","0.02","20,000,000"
,152550,한국ANKOR유전,"1,700","-5","-0.3","1,705","1,705","1,695","66,590","112,935,905","119,034,000,000","0.01","70,020,000"
,153360,하이골드3호,"1,360","10","0.7","1,345","1,375","1,330","6,436","8,670,230","21,963,714,400","0.00","16,149,790"
,155660,DSR,"4,120","-10","-0.2","4,115","4,130","4,060","58,490","239,805,700","65,920,000,000","0.00","16,000,000"
,155900,바다로19호,"2,640","0","0.0","2,620","2,645","2,620","2,266","5,973,435","40,128,010,560","0.00","15,200,004"
,161000,애경유화,"6,760","50","0.8","6,710","6,870","6,660","151,725","1,031,570,910","216,590,400,000","0.01","32,040,000"
,161390,한국타이어앤테크놀로지,"25,200","50","0.2","25,100","25,450","25,100","231,195","5,846,594,300","3,121,651,738,800","0.21","123,875,069"
,161890,한국콜마,"45,650","-1,650","-3.5","47,700","47,700","45,600","336,426","15,593,514,800","1,044,525,867,000","0.07","22,881,180"
,163560,동일고무벨트,"8,320","-10","-0.1","8,330","8,330","8,200","88,933","733,882,820","113,568,000,000","0.01","13,650,000"
,168490,한국패러랠,"1,990","-5","-0.2","1,995","1,995","1,980","28,838","57,122,020","159,239,800,000","0.01","80,020,000"
,170900,동아에스티,"92,900","1,200","1.3","91,500","93,300","91,400","24,896","2,308,416,500","784,435,337,200","0.05","8,443,868"
,172580,하이골드12호,"2,205","-5","-0.2","2,215","2,240","2,205","12,524","27,799,290","28,763,122,500","0.00","13,044,500"
,175330,JB금융지주,"4,820","-35","-0.7","4,880","5,000","4,820","371,429","1,819,054,485","949,457,549,080","0.06","196,982,894"
,180640,한진칼,"93,500","-4,900","-5.0","98,900","98,900","92,800","690,224","65,566,190,100","5,532,437,823,000","0.37","59,170,458"
,18064K,한진칼우,"53,300","-200","-0.4","54,300","54,400","52,600","30,382","1,622,311,700","28,609,627,800","0.00","536,766"
,181710,NHN,"81,900","-1,100","-1.3","83,100","83,100","80,900","125,607","10,248,533,700","1,602,375,547,500","0.11","19,565,025"
,183190,아세아시멘트,"55,800","1,100","2.0","55,200","60,700","54,500","51,160","2,902,775,300","217,386,142,200","0.01","3,895,809"
,185750,종근당,"127,500","-1,500","-1.2","130,000","130,500","126,000","92,710","11,843,765,000","1,387,924,837,500","0.09","10,885,685"
,192080,더블유게임즈,"76,300","-900","-1.2","77,500","77,600","74,800","141,672","10,709,098,200","1,401,974,502,600","0.09","18,374,502"
,192400,쿠쿠홀딩스,"82,800","-1,200","-1.4","83,200","84,400","82,400","5,088","422,973,000","588,909,783,600","0.04","7,112,437"
,192650,드림텍,"11,500","-450","-3.8","11,900","12,600","11,500","5,726,684","69,061,979,300","713,514,280,000","0.05","62,044,720"
,192820,코스맥스,"93,200","-1,200","-1.3","94,300","94,700","92,100","83,127","7,732,031,100","936,614,238,800","0.06","10,049,509"
,194370,제이에스코퍼레이션,"6,880","20","0.3","6,920","6,920","6,800","15,747","107,809,040","91,748,934,880","0.01","13,335,601"
,195870,해성디에스,"18,400","100","0.6","18,000","18,500","17,950","225,116","4,107,372,900","312,800,000,000","0.02","17,000,000"
,200880,서연이화,"3,975","-25","-0.6","4,010","4,045","3,915","246,006","979,928,330","107,438,037,075","0.01","27,028,437"
,204210,모두투어리츠,"2,830","35","1.2","2,945","2,945","2,800","2,838","8,049,340","22,149,886,450","0.00","7,826,815"
,204320,만도,"23,750","-600","-2.5","24,350","24,350","23,600","504,056","12,026,474,700","1,115,231,600,000","0.07","46,957,120"
,207940,삼성바이오로직스,"790,000","40,000","5.3","757,000","790,000","744,000","371,837","285,223,045,000","52,270,350,000,000","3.46","66,165,000"
,210540,디와이파워,"10,800","-300","-2.7","11,250","11,300","10,700","218,174","2,371,733,600","119,250,446,400","0.01","11,041,708"
,210980,SK디앤디,"35,000","-600","-1.7","36,200","36,300","34,550","283,128","10,045,485,000","664,655,740,000","0.04","18,990,164"
,213500,한솔제지,"14,400","200","1.4","14,250","14,450","14,150","82,235","1,178,389,500","342,728,294,400","0.02","23,800,576"
,214320,이노션,"46,850","-1,350","-2.8","48,050","48,300","46,850","62,512","2,959,011,550","937,000,000,000","0.06","20,000,000"
,214330,금호에이치티,"5,710","-200","-3.4","5,900","5,990","5,480","654,844","3,755,224,090","158,173,983,330","0.01","27,701,223"
,214390,경보제약,"9,660","330","3.5","9,430","9,680","9,300","169,900","1,618,747,220","230,940,267,600","0.02","23,906,860"
,214420,토니모리,"10,750","-150","-1.4","10,850","10,900","10,700","103,448","1,115,472,950","189,630,000,000","0.01","17,640,000"
,226320,잇츠한불,"22,400","-700","-3.0","22,850","22,900","22,050","212,591","4,759,328,400","491,216,656,000","0.03","21,929,315"
,227840,현대코퍼레이션홀딩스,"9,960","-140","-1.4","10,000","10,150","9,950","37,108","371,870,030","90,644,326,560","0.01","9,100,836"
,229640,LS전선아시아,"7,050","80","1.2","6,970","7,250","6,920","282,282","2,006,368,850","215,905,396,950","0.01","30,624,879"
,234080,JW생명과학,"19,000","-300","-1.6","19,650","19,650","18,800","288,832","5,529,780,050","300,856,526,000","0.02","15,834,554"
,241560,두산밥캣,"26,800","-800","-2.9","27,250","27,900","26,200","873,604","23,642,930,000","2,686,677,648,800","0.18","100,249,166"
,241590,화승엔터프라이즈,"10,850","100","0.9","10,750","11,050","10,650","266,313","2,884,583,050","656,822,869,500","0.04","60,536,670"
,248170,샘표식품,"45,100","0","0.0","45,350","45,900","44,750","57,083","2,644,803,200","206,029,698,600","0.01","4,568,286"
,249420,일동제약,"15,900","900","6.0","15,300","16,050","14,850","407,961","6,347,717,850","378,472,231,500","0.03","23,803,285"
,251270,넷마블,"126,000","-3,000","-2.3","129,000","129,000","122,000","588,801","73,582,971,000","10,810,913,022,000","0.72","85,800,897"
,264900,크라운제과,"8,840","-10","-0.1","8,850","9,110","8,810","22,209","197,000,500","110,710,834,000","0.01","12,523,850"
,26490K,크라운제과우,"9,100","570","6.7","8,530","9,370","8,380","126,761","1,138,379,460","7,039,396,000","0.00","773,560"
,267250,현대중공업지주,"237,000","-3,000","-1.2","240,500","244,000","237,000","32,416","7,774,198,500","3,744,272,229,000","0.25","15,798,617"
,267260,현대일렉트릭,"10,000","280","2.9","9,690","10,300","9,490","1,628,138","16,090,262,350","360,471,350,000","0.02","36,047,135"
,267270,현대건설기계,"22,050","-300","-1.3","22,550","22,600","21,700","152,523","3,385,168,100","434,402,485,650","0.03","19,700,793"
,267290,경동도시가스,"17,200","400","2.4","16,700","17,350","16,700","28,718","489,566,750","101,400,983,200","0.01","5,895,406"
,267850,아시아나IDT,"15,050","-150","-1.0","15,100","15,250","15,000","49,234","741,684,500","167,055,000,000","0.01","11,100,000"
,268280,미원에스씨,"79,000","400","0.5","80,200","80,700","78,700","701","55,550,400","402,900,000,000","0.03","5,100,000"
,271560,오리온,"135,000","-4,500","-3.2","138,500","139,000","135,000","82,568","11,245,717,000","5,337,377,820,000","0.35","39,536,132"
,271980,제일약품,"48,000","2,850","6.3","45,150","48,000","43,700","432,517","19,939,445,550","705,833,856,000","0.05","14,704,872"
,272210,한화시스템,"9,180","-50","-0.5","9,200","9,270","9,110","371,165","3,403,377,560","1,011,914,971,020","0.07","110,230,389"
,272450,진에어,"10,350","-150","-1.4","10,550","10,550","10,250","108,941","1,131,809,150","310,500,000,000","0.02","30,000,000"
,272550,삼양패키징,"18,000","250","1.4","18,100","18,450","17,800","66,304","1,201,327,800","255,776,472,000","0.02","14,209,804"
,280360,롯데제과,"108,000","-500","-0.5","108,000","108,500","107,000","8,105","872,350,000","693,005,436,000","0.05","6,416,717"
,281820,케이씨텍,"23,200","450","2.0","22,800","23,350","22,300","208,741","4,798,740,550","460,272,688,000","0.03","19,839,340"
,282330,BGF리테일,"128,500","1,500","1.2","128,500","129,000","127,000","24,425","3,131,491,500","2,220,981,921,000","0.15","17,283,906"
,282690,동아타이어,"10,800","-50","-0.5","10,850","10,950","10,750","3,834","41,662,700","148,316,562,000","0.01","13,733,015"
,284740,쿠쿠홈시스,"35,300","-1,250","-3.4","36,550","36,750","35,250","56,931","2,031,317,750","792,037,749,000","0.05","22,437,330"
,285130,SK케미칼,"232,000","53,500","30.0","209,500","232,000","209,500","1,309,454","293,446,882,500","2,724,003,872,000","0.18","11,741,396"
,28513K,SK케미칼우,"108,500","24,700","29.5","108,500","108,500","108,500","115,665","12,544,712,500","158,265,695,000","0.01","1,458,670"
,286940,롯데정보통신,"34,550","-850","-2.4","35,400","35,400","33,900","72,569","2,499,839,050","531,943,236,050","0.04","15,396,331"
,293480,하나제약,"22,150","200","0.9","21,900","22,350","21,600","111,863","2,447,851,150","358,830,000,000","0.02","16,200,000"
,293940,신한알파리츠,"6,580","10","0.2","6,540","6,720","6,500","78,365","513,510,620","344,332,209,340","0.02","52,330,123"
,294870,HDC현대산업개발,"21,900","450","2.1","21,600","22,650","21,500","1,446,301","32,107,538,900","1,443,370,527,000","0.10","65,907,330"
,298000,효성화학,"111,500","5,000","4.7","106,500","113,500","105,500","39,090","4,307,352,000","355,699,049,000","0.02","3,190,126"
,298020,효성티앤씨,"113,500","-1,000","-0.9","114,500","116,000","113,000","33,981","3,885,386,500","491,191,907,000","0.03","4,327,682"
,298040,효성중공업,"39,200","1,500","4.0","37,700","42,650","37,700","1,005,004","40,674,358,900","365,522,281,600","0.02","9,324,548"
,298050,효성첨단소재,"123,500","7,500","6.5","115,000","127,500","115,000","318,952","39,215,218,500","553,273,578,000","0.04","4,479,948"
,298690,에어부산,"3,750","-25","-0.7","3,770","3,770","3,730","184,303","690,460,245","195,262,500,000","0.01","52,070,000"
,300720,한일시멘트,"82,100","500","0.6","81,700","83,700","81,700","6,882","569,451,200","340,302,037,000","0.02","4,144,970"
,306200,세아제강,"56,500","2,000","3.7","57,300","58,800","56,100","59,282","3,394,731,400","160,250,950,000","0.01","2,836,300"
,307950,현대오토에버,"40,000","-1,100","-2.7","41,150","42,000","39,700","41,003","1,675,503,000","840,000,000,000","0.06","21,000,000"
,308170,센트랄모텍,"30,850","0","0.0","30,800","31,000","30,450","90,284","2,764,672,650","265,618,500,000","0.02","8,610,000"
,316140,우리금융지주,"8,860","-80","-0.9","9,000","9,200","8,860","2,029,753","18,327,975,590","6,399,291,671,380","0.42","722,267,683"
,317400,자이에스앤디,"5,990","-60","-1.0","6,050","6,050","5,960","73,428","440,166,730","160,427,294,800","0.01","26,782,520"
,322000,현대에너지솔루션,"32,800","-950","-2.8","34,150","36,850","32,050","1,304,388","45,013,029,750","367,360,000,000","0.02","11,200,000"
,326030,SK바이오팜,"188,000","2,500","1.4","192,000","205,000","188,000","2,269,779","443,867,133,000","14,722,891,000,000","0.98","78,313,250"
,330590,롯데리츠,"5,170","0","0.0","5,190","5,200","5,150","359,033","1,858,592,240","889,079,130,280","0.06","171,968,884"
,334890,이지스밸류리츠,"4,465","0","0.0","4,460","4,490","4,440","381,141","1,699,056,205","107,160,000,000","0.01","24,000,000"
